# Image: frame_00000.jpg
0.997832 0.038608 0.053293
-0.041406 0.997765 0.052450
-0.051149 -0.054543 0.997201

# Image: frame_00002.jpg
0.997744 0.041890 0.052455
-0.044715 0.997545 0.053898
-0.050068 -0.056122 0.997168

# Image: frame_00001.jpg
0.997783 0.040115 0.053112
-0.042961 0.997639 0.053574
-0.050837 -0.055737 0.997150

# Image: frame_00005.jpg
0.997910 0.041621 0.049432
-0.044385 0.997433 0.056188
-0.046966 -0.058265 0.997196

# Image: frame_00003.jpg
0.997774 0.042337 0.051519
-0.045119 0.997516 0.054098
-0.049101 -0.056302 0.997206

# Image: frame_00006.jpg
0.998048 0.040436 0.047600
-0.043160 0.997403 0.057666
-0.045144 -0.059608 0.997201

# Image: frame_00015.jpg
0.998452 0.032394 0.045217
-0.035284 0.997284 0.064648
-0.043000 -0.066143 0.996883

# Image: frame_00008.jpg
0.998222 0.037644 0.046217
-0.040388 0.997384 0.059950
-0.043840 -0.061710 0.997131

# Image: frame_00004.jpg
0.997813 0.042470 0.050650
-0.045237 0.997473 0.054779
-0.048196 -0.056950 0.997213

# Image: frame_00007.jpg
0.998154 0.039117 0.046449
-0.041845 0.997363 0.059299
-0.044007 -0.061133 0.997159

# Image: frame_00011.jpg
0.998339 0.036639 0.044472
-0.039379 0.997275 0.062384
-0.042065 -0.064032 0.997061

# Image: frame_00013.jpg
0.998383 0.034909 0.044864
-0.037696 0.997310 0.062864
-0.042549 -0.064454 0.997013

# Image: frame_00016.jpg
0.998494 0.031696 0.044787
-0.034623 0.997208 0.066169
-0.042565 -0.067620 0.996803

# Image: frame_00021.jpg
0.998343 0.029035 0.049675
-0.032698 0.996680 0.074570
-0.047345 -0.076071 0.995978

# Image: frame_00022.jpg
0.998331 0.028049 0.050480
-0.031819 0.996637 0.075512
-0.048193 -0.076993 0.995866

# Image: frame_00014.jpg
0.998415 0.033473 0.045235
-0.036312 0.997323 0.063474
-0.042989 -0.065016 0.996958

# Image: frame_00009.jpg
0.998271 0.036922 0.045727
-0.039667 0.997371 0.060652
-0.043367 -0.062361 0.997111

# Image: frame_00010.jpg
0.998309 0.036621 0.045141
-0.039368 0.997327 0.061562
-0.042766 -0.063235 0.997082

# Image: frame_00012.jpg
0.998361 0.035826 0.044619
-0.038583 0.997296 0.062546
-0.042258 -0.064165 0.997044

# Image: frame_00020.jpg
0.998366 0.029274 0.049073
-0.032824 0.996778 0.073186
-0.046772 -0.074677 0.996110

# Image: frame_00018.jpg
0.998463 0.030728 0.046124
-0.033831 0.997107 0.068069
-0.043899 -0.069525 0.996614

# Image: frame_00017.jpg
0.998493 0.031261 0.045104
-0.034246 0.997166 0.066992
-0.042882 -0.068436 0.996733

# Image: frame_00023.jpg
0.998250 0.026915 0.052655
-0.030912 0.996579 0.076641
-0.050412 -0.078134 0.995667

# Image: frame_00019.jpg
0.998412 0.029655 0.047891
-0.033004 0.996951 0.070705
-0.045648 -0.072173 0.996347

# Image: frame_00027.jpg
0.998226 0.023507 0.054709
-0.027771 0.996524 0.078536
-0.052672 -0.079916 0.995409

# Image: frame_00028.jpg
0.998228 0.022376 0.055133
-0.026674 0.996558 0.078492
-0.053187 -0.079824 0.995389

# Image: frame_00024.jpg
0.998207 0.026850 0.053499
-0.030962 0.996506 0.077571
-0.051229 -0.079088 0.995550

# Image: frame_00025.jpg
0.998216 0.025859 0.053815
-0.030031 0.996484 0.078222
-0.051603 -0.079698 0.995482

# Image: frame_00029.jpg
0.998246 0.021024 0.055337
-0.025362 0.996560 0.078902
-0.053488 -0.080168 0.995345

# Image: frame_00026.jpg
0.998223 0.024644 0.054253
-0.028865 0.996501 0.078439
-0.052130 -0.079866 0.995442

# Image: frame_00030.jpg
0.998243 0.020470 0.055602
-0.024818 0.996592 0.078671
-0.053802 -0.079913 0.995349

# Image: frame_00032.jpg
0.998306 0.019408 0.054845
-0.023674 0.996653 0.078244
-0.053143 -0.079410 0.995424

# Image: frame_00031.jpg
0.998268 0.019830 0.055389
-0.024178 0.996585 0.078957
-0.053634 -0.080159 0.995338

# Image: frame_00035.jpg
0.998638 0.016781 0.049395
-0.020559 0.996818 0.077017
-0.047946 -0.077927 0.995805

# Image: frame_00034.jpg
0.998516 0.017418 0.051596
