# Image: frame_00000.jpg
-3.733448 -2.094491 4.846716

# Image: frame_00002.jpg
-3.516131 -2.002736 4.632959

# Image: frame_00001.jpg
-3.622105 -2.056207 4.712947

# Image: frame_00005.jpg
-3.401904 -1.980736 4.571363

# Image: frame_00003.jpg
-3.439962 -1.948017 4.445421

# Image: frame_00006.jpg
-3.425066 -1.959354 4.522197

# Image: frame_00015.jpg
-3.642686 -1.770815 4.458178

# Image: frame_00008.jpg
-3.478886 -1.922801 4.597767

# Image: frame_00004.jpg
-3.381170 -1.953520 4.512850

# Image: frame_00007.jpg
-3.466555 -1.960429 4.606558

# Image: frame_00011.jpg
-3.417803 -1.815627 4.368174

# Image: frame_00013.jpg
-3.521797 -1.770893 4.408486

# Image: frame_00016.jpg
-3.678914 -1.759221 4.505311

# Image: frame_00021.jpg
-3.802155 -1.724767 4.501823

# Image: frame_00022.jpg
-3.817879 -1.711307 4.513052

# Image: frame_00014.jpg
-3.602351 -1.775909 4.449007

# Image: frame_00009.jpg
-3.453105 -1.881709 4.551865

# Image: frame_00010.jpg
-3.435617 -1.851821 4.446941

# Image: frame_00012.jpg
-3.457758 -1.783994 4.359268

# Image: frame_00020.jpg
-3.794954 -1.717778 4.437591

# Image: frame_00018.jpg
-3.760072 -1.714115 4.362564

# Image: frame_00017.jpg
-3.723399 -1.717687 4.424799

# Image: frame_00023.jpg
-3.831090 -1.716590 4.647439

# Image: frame_00019.jpg
-3.785429 -1.728177 4.406138

# Image: frame_00027.jpg
-3.830321 -1.563019 4.867019

# Image: frame_00028.jpg
-3.809644 -1.489372 4.648361

# Image: frame_00024.jpg
-3.809930 -1.687645 4.734511

# Image: frame_00025.jpg
-3.823158 -1.669780 4.928714

# Image: frame_00029.jpg
-3.782157 -1.452264 4.468885

# Image: frame_00026.jpg
-3.832073 -1.643011 4.972096

# Image: frame_00030.jpg
-3.725074 -1.370507 4.155515

# Image: frame_00032.jpg
-3.444046 -1.218225 3.443480

# Image: frame_00031.jpg
-3.622580 -1.353693 3.914320

# Image: frame_00035.jpg
-2.724804 -0.980346 3.115324

# Image: frame_00034.jpg
-2.987844 -1.038932 3.065463

# Image: frame_00036.jpg
-2.423739 -0.928270 3.119430

# Image: frame_00033.jpg
-3.230911 -1.137350 3.169106

# Image: frame_00038.jpg
-1.804778 -0.960614 3.320633

# Image: frame_00037.jpg
-2.124332 -0.958341 3.262608

# Image: frame_00042.jpg
-0.279136 -0.828363 2.480304

# Image: frame_00039.jpg
-1.396159 -0.863456 2.712993

# Image: frame_00041.jpg
-0.643041 -0.865686 2.571245

# Image: frame_00040.jpg
-1.030131 -0.865155 2.560153

# Image: frame_00046.jpg
0.993078 -0.606608 2.503933

# Image: frame_00043.jpg
0.087292 -0.741362 2.430054

# Image: frame_00044.jpg
0.444054 -0.677234 2.388142

# Image: frame_00045.jpg
0.754741 -0.676876 2.511170

# Image: frame_00047.jpg
1.185389 -0.620990 2.777035

# Image: frame_00048.jpg
1.364591 -0.601323 2.942110

# Image: frame_00049.jpg
1.525713 -0.639189 3.113174

# Image: frame_00052.jpg
2.044854 -0.398305 2.714063

# Image: frame_00051.jpg
1.848159 -0.572517 3.079353

# Image: frame_00054.jpg
2.365724 0.087220 1.859525

# Image: frame_00055.jpg
2.478078 0.309032 1.592333

# Image: frame_00053.jpg
2.230304 -0.166133 2.257098

# Image: frame_00056.jpg
2.596736 0.583542 1.351173

# Image: frame_00050.jpg
1.689009 -0.662030 3.301509

# Image: frame_00057.jpg
2.680389 0.857689 1.019882

# Image: frame_00058.jpg
2.754357 1.112641 0.636369

# Image: frame_00059.jpg
2.801271 1.263585 0.394404

# Image: frame_00060.jpg
2.830540 1.341605 0.278530

# Image: frame_00061.jpg
2.841700 1.413653 0.238084

# Image: frame_00063.jpg
2.751712 1.510239 0.212973

# Image: frame_00064.jpg
2.686244 1.491354 0.308950

# Image: frame_00062.jpg
2.826976 1.525536 0.037737

# Image: frame_00065.jpg
2.623968 1.501684 0.388528

# Image: frame_00069.jpg
2.411262 1.699351 0.291602

# Image: frame_00070.jpg
2.376679 1.774623 0.198219

# Image: frame_00067.jpg
2.524048 1.615357 0.371682

# Image: frame_00066.jpg
2.560527 1.552605 0.417618

# Image: frame_00068.jpg
2.455008 1.611203 0.491933

# Image: frame_00072.jpg
2.305283 1.849020 0.164295

# Image: frame_00073.jpg
2.255181 1.945009 0.013860

# Image: frame_00075.jpg
2.171224 2.066238 -0.035419

# Image: frame_00074.jpg
2.200545 2.016231 -0.098755

# Image: frame_00078.jpg
2.093458 2.053220 0.258488

# Image: frame_00076.jpg
2.156197 2.069856 0.061963

# Image: frame_00077.jpg
2.131827 2.107141 0.074196

# Image: frame_00071.jpg
2.350433 1.832159 0.153205

# Image: frame_00079.jpg
2.099625 2.098231 0.278300

# Image: frame_00081.jpg
2.040835 2.111780 0.428263

# Image: frame_00080.jpg
2.068703 2.120534 0.314766

# Image: frame_00082.jpg
1.991997 2.117546 0.435130

# Image: frame_00083.jpg
1.938031 2.105684 0.544914

# Image: frame_00084.jpg
1.903052 2.137235 0.502737

# Image: frame_00085.jpg
1.866565 2.061955 0.749544

# Image: frame_00086.jpg
1.828946 2.060003 0.812604

# Image: frame_00087.jpg
1.790392 2.074834 0.801527

# Image: frame_00089.jpg
1.737060 2.043346 0.912845

# Image: frame_00088.jpg
1.760916 2.060764 0.887022

# Image: frame_00095.jpg
1.508561 1.642028 0.343602

# Image: frame_00091.jpg
1.675350 2.030578 0.721449

# Image: frame_00090.jpg
1.705335 2.082147 0.747621

# Image: frame_00097.jpg
1.308655 1.020873 0.377225

# Image: frame_00098.jpg
1.173476 0.740927 0.463489

# Image: frame_00099.jpg
1.027253 0.523140 0.440341

# Image: frame_00100.jpg
0.893763 0.451380 -0.009185

# Image: frame_00101.jpg
0.742900 0.437919 -0.346333

# Image: frame_00103.jpg
0.593714 0.179736 -0.577408

# Image: frame_00092.jpg
1.630205 1.981924 0.662030

# Image: frame_00094.jpg
1.549881 1.773224 0.528105

# Image: frame_00093.jpg
1.604918 1.908654 0.580209

# Image: frame_00104.jpg
0.542137 0.068689 -0.615739

# Image: frame_00105.jpg
0.503854 -0.011845 -0.718138

# Image: frame_00096.jpg
1.419479 1.353021 0.310327

# Image: frame_00107.jpg
0.369265 -0.270800 -0.817057

# Image: frame_00108.jpg
0.310151 -0.371262 -0.874631

