Frame 0: [419.00, 656.00], [443.00, 655.00], [421.00, 718.00], [449.00, 719.00]
Frame 1: [419.00, 656.00], [443.00, 655.00], [421.00, 718.00], [449.00, 719.00]
Frame 2: [419.00, 655.96], [442.99, 654.97], [421.23, 718.07], [449.12, 719.02]
Frame 3: [419.00, 655.96], [442.99, 654.97], [421.23, 718.07], [449.12, 719.02]
Frame 4: [418.98, 655.79], [443.14, 654.86], [421.39, 718.06], [449.07, 719.01]
Frame 5: [419.08, 655.82], [443.14, 654.81], [421.65, 718.14], [449.05, 719.00]
Frame 6: [419.15, 655.67], [443.27, 654.64], [421.94, 718.11], [449.36, 718.87]
Frame 7: [419.15, 655.67], [443.27, 654.64], [421.94, 718.11], [449.36, 718.87]
Frame 8: [419.15, 655.68], [443.26, 654.64], [422.31, 718.16], [449.28, 718.82]
Frame 9: [419.25, 655.48], [443.26, 654.62], [422.45, 718.15], [449.27, 718.82]
Frame 10: [419.46, 655.33], [443.50, 654.38], [422.73, 718.16], [448.83, 718.70]
Frame 11: [419.46, 655.32], [443.57, 654.40], [422.72, 718.16], [448.86, 718.70]
Frame 12: [419.53, 655.30], [443.69, 654.32], [422.85, 718.07], [449.11, 718.66]
Frame 13: [419.53, 655.31], [443.69, 654.32], [422.85, 718.07], [449.11, 718.66]
Frame 14: [419.53, 655.31], [443.69, 654.20], [423.22, 718.14], [449.14, 718.67]
Frame 15: [419.89, 655.15], [444.13, 654.13], [423.51, 718.16], [449.52, 718.66]
Frame 16: [420.05, 655.13], [444.22, 653.93], [423.57, 718.14], [449.68, 718.68]
Frame 17: [420.06, 655.11], [444.34, 653.92], [423.58, 718.12], [449.78, 718.65]
Frame 18: [420.06, 655.11], [444.34, 653.92], [423.58, 718.12], [449.78, 718.65]
Frame 19: [420.22, 655.03], [444.33, 653.92], [423.41, 718.07], [449.85, 718.66]
Frame 20: [420.38, 654.94], [444.58, 653.82], [423.25, 717.86], [450.34, 718.68]
Frame 21: [420.48, 654.93], [444.78, 653.72], [423.04, 717.80], [450.49, 718.67]
Frame 22: [420.48, 654.93], [444.78, 653.72], [423.04, 717.80], [450.49, 718.67]
Frame 23: [420.60, 654.90], [444.99, 653.73], [422.76, 717.69], [450.48, 718.67]
Frame 24: [420.66, 654.89], [444.98, 653.61], [422.35, 717.53], [450.57, 718.67]
Frame 25: [420.96, 654.94], [445.34, 653.60], [421.90, 717.23], [450.74, 718.63]
Frame 26: [421.05, 654.94], [445.37, 653.60], [421.95, 717.21], [450.58, 718.66]
Frame 27: [421.14, 654.93], [445.43, 653.61], [421.94, 717.16], [450.44, 718.62]
Frame 28: [421.14, 654.93], [445.43, 653.60], [421.94, 717.15], [450.39, 718.61]
Frame 29: [421.32, 655.01], [445.59, 653.58], [422.12, 717.21], [450.56, 718.67]
Frame 30: [421.56, 654.98], [445.92, 653.47], [422.42, 717.20], [450.34, 718.65]
Frame 31: [421.73, 654.96], [446.08, 653.44], [422.64, 717.22], [450.38, 718.65]
Frame 32: [421.71, 654.95], [446.17, 653.48], [422.63, 717.21], [449.88, 718.70]
Frame 33: [421.72, 654.95], [446.16, 653.48], [422.64, 717.22], [449.91, 718.70]
Frame 34: [421.95, 654.87], [446.39, 653.45], [422.76, 717.31], [449.81, 718.68]
Frame 35: [422.14, 654.97], [446.51, 653.39], [423.32, 717.48], [449.98, 718.88]
Frame 36: [422.14, 654.98], [446.69, 653.36], [426.97, 718.00], [450.10, 718.88]
Frame 37: [422.14, 654.98], [446.69, 653.37], [426.97, 718.00], [450.11, 718.88]
Frame 38: [422.26, 655.04], [446.87, 653.33], [427.00, 717.98], [450.20, 718.90]
Frame 39: [422.45, 655.05], [447.03, 653.32], [433.76, 718.15], [450.14, 718.90]
Frame 40: [422.74, 655.16], [447.30, 653.29], [436.74, 719.33], [457.70, 720.17]
Frame 41: [422.79, 655.13], [447.40, 653.28], [427.80, 719.63], [457.69, 720.27]
Frame 42: [422.97, 655.15], [447.60, 653.10], [427.79, 719.61], [457.75, 720.30]
Frame 43: [422.97, 655.14], [447.60, 653.10], [427.78, 719.61], [457.75, 720.30]
Frame 44: [423.11, 655.11], [447.60, 653.10], [423.93, 716.57], [457.91, 720.28]
Frame 45: [423.35, 655.07], [447.82, 653.03], [423.63, 711.52], [447.16, 718.69]
Frame 46: [423.42, 655.03], [448.01, 652.98], [423.64, 711.40], [447.05, 718.67]
Frame 47: [423.49, 655.00], [448.02, 652.98], [423.71, 711.42], [447.04, 718.69]
Frame 48: [423.48, 655.00], [448.02, 652.98], [423.71, 711.42], [447.02, 718.69]
Frame 49: [423.66, 654.97], [448.27, 652.88], [423.90, 711.40], [447.13, 718.62]
Frame 50: [423.90, 654.69], [448.37, 652.49], [424.13, 711.09], [447.62, 718.43]
Frame 51: [424.00, 654.17], [448.54, 651.98], [424.31, 710.67], [447.36, 717.85]
Frame 52: [424.00, 654.17], [448.55, 651.98], [424.31, 710.67], [447.39, 717.85]
Frame 53: [424.09, 654.09], [448.65, 651.76], [424.39, 710.62], [447.65, 717.72]
Frame 54: [424.11, 653.74], [448.83, 651.50], [424.43, 710.22], [448.47, 717.61]
Frame 55: [424.33, 652.68], [449.06, 650.54], [424.77, 709.23], [448.65, 716.70]
Frame 56: [424.49, 652.27], [449.06, 650.09], [424.73, 708.67], [448.62, 716.42]
Frame 57: [424.50, 652.26], [449.23, 649.94], [424.86, 708.74], [448.83, 716.30]
Frame 58: [424.50, 652.25], [449.25, 649.91], [424.85, 708.73], [448.81, 716.31]
Frame 59: [424.53, 651.59], [449.23, 649.11], [424.98, 708.18], [448.79, 715.47]
Frame 60: [424.72, 650.48], [449.47, 648.17], [425.28, 707.20], [448.49, 714.53]
Frame 61: [424.84, 649.90], [449.66, 647.44], [425.28, 706.63], [448.71, 714.03]
Frame 62: [424.84, 649.89], [449.68, 647.32], [425.31, 706.62], [448.97, 714.04]
Frame 63: [424.84, 649.89], [449.70, 647.29], [425.29, 706.62], [448.98, 714.03]
Frame 64: [424.85, 649.36], [449.68, 646.82], [425.48, 706.11], [449.08, 713.48]
Frame 65: [425.07, 648.43], [449.86, 645.94], [425.64, 705.11], [448.94, 712.57]
Frame 66: [425.16, 648.00], [449.90, 645.69], [425.85, 704.77], [449.21, 712.35]
Frame 67: [425.16, 648.00], [449.89, 645.69], [425.85, 704.77], [449.18, 712.35]
Frame 68: [425.19, 647.98], [450.04, 645.39], [425.83, 704.72], [449.45, 712.23]
Frame 69: [425.21, 647.53], [450.10, 645.02], [425.82, 704.36], [449.43, 711.84]
Frame 70: [425.33, 646.82], [450.26, 644.33], [426.04, 703.74], [449.50, 711.32]
Frame 71: [425.40, 646.62], [450.26, 644.29], [426.07, 703.57], [450.64, 711.27]
Frame 72: [425.41, 646.44], [450.25, 643.88], [426.06, 703.45], [450.51, 711.20]
Frame 73: [425.42, 646.44], [450.25, 643.87], [426.06, 703.45], [450.52, 711.17]
