frame_idx : 1, dst_points: [[283.03, 143.97], [295.04, 141.00], [281.03, 154.98], [294.05, 151.99]]
frame_idx : 2, dst_points: [[285.95, 145.55], [289.43, 144.65], [286.38, 149.31], [289.91, 151.27]]
frame_idx : 3, dst_points: [[287.58, 146.73], [289.43, 142.52], [286.11, 151.57], [288.27, 148.79]]
frame_idx : 4, dst_points: [[287.45, 146.56], [289.67, 142.32], [288.35, 148.28], [288.07, 150.67]]
frame_idx : 5, dst_points: [[287.55, 145.91], [289.87, 142.29], [287.09, 149.24], [288.68, 149.03]]
frame_idx : 6, dst_points: [[287.43, 146.25], [290.09, 142.24], [287.39, 148.86], [289.13, 149.23]]
frame_idx : 7, dst_points: [[288.01, 145.17], [289.04, 142.68], [287.47, 149.88], [288.42, 148.81]]
frame_idx : 8, dst_points: [[287.25, 146.40], [289.68, 142.30], [287.55, 148.83], [288.54, 149.80]]
frame_idx : 9, dst_points: [[287.90, 145.64], [289.89, 142.29], [287.41, 149.59], [288.90, 149.15]]
frame_idx : 10, dst_points: [[287.51, 146.21], [290.03, 142.25], [287.41, 148.83], [289.14, 149.14]]
frame_idx : 11, dst_points: [[297.44, 166.31], [292.44, 167.54], [300.56, 166.53], [294.54, 171.76]]
frame_idx : 12, dst_points: [[282.05, 148.78], [291.80, 159.56], [299.99, 166.92], [291.67, 169.83]]
frame_idx : 13, dst_points: [[283.43, 156.35], [282.38, 154.05], [290.39, 157.51], [291.17, 168.14]]
frame_idx : 14, dst_points: [[287.02, 165.01], [295.05, 166.44], [287.24, 160.92], [284.73, 161.70]]
frame_idx : 15, dst_points: [[282.09, 161.32], [295.30, 152.46], [287.28, 166.89], [283.93, 168.99]]
frame_idx : 16, dst_points: [[292.89, 148.24], [294.74, 158.09], [288.34, 170.67], [290.91, 159.42]]
frame_idx : 17, dst_points: [[292.10, 168.56], [293.88, 172.61], [297.19, 159.30], [291.28, 161.36]]
frame_idx : 18, dst_points: [[281.76, 169.05], [287.14, 164.28], [281.29, 156.90], [289.95, 170.12]]
frame_idx : 19, dst_points: [[287.42, 165.50], [297.43, 173.44], [284.32, 177.50], [292.37, 170.56]]
frame_idx : 20, dst_points: [[281.18, 162.06], [302.31, 170.14], [293.77, 178.85], [299.17, 171.72]]
frame_idx : 21, dst_points: [[284.82, 165.71], [297.38, 159.88], [283.07, 163.85], [279.12, 160.04]]
frame_idx : 22, dst_points: [[289.90, 160.67], [296.90, 154.02], [288.67, 166.40], [289.38, 164.19]]
frame_idx : 23, dst_points: [[290.66, 152.79], [289.19, 161.64], [294.76, 157.39], [288.70, 164.45]]
frame_idx : 24, dst_points: [[290.84, 172.06], [302.03, 172.54], [294.34, 157.24], [290.03, 165.58]]
frame_idx : 25, dst_points: [[278.35, 171.42], [291.45, 174.13], [280.18, 173.97], [291.66, 169.79]]
frame_idx : 26, dst_points: [[283.80, 165.34], [294.78, 164.40], [280.98, 173.40], [295.45, 166.36]]
frame_idx : 27, dst_points: [[280.38, 154.25], [290.63, 154.85], [289.84, 170.55], [292.48, 170.71]]
frame_idx : 28, dst_points: [[284.04, 154.57], [282.32, 164.13], [286.14, 160.05], [275.64, 155.45]]
frame_idx : 29, dst_points: [[283.96, 163.97], [286.63, 155.56], [279.41, 160.33], [269.78, 155.00]]
frame_idx : 30, dst_points: [[272.52, 162.86], [287.08, 163.07], [280.31, 160.70], [272.11, 158.57]]
frame_idx : 31, dst_points: [[296.40, 163.01], [302.00, 152.50], [278.34, 162.05], [282.97, 157.53]]
frame_idx : 32, dst_points: [[283.19, 159.99], [287.82, 159.72], [284.20, 158.90], [294.09, 157.32]]
frame_idx : 33, dst_points: [[280.98, 162.06], [291.75, 159.52], [300.31, 159.78], [284.92, 159.51]]
frame_idx : 34, dst_points: [[285.04, 160.94], [295.77, 154.97], [299.60, 159.25], [279.30, 160.60]]
frame_idx : 35, dst_points: [[279.78, 143.45], [276.88, 147.73], [272.46, 143.64], [287.42, 144.18]]
frame_idx : 36, dst_points: [[271.77, 127.47], [321.58, 125.90], [313.64, 130.12], [334.39, 128.72]]
frame_idx : 37, dst_points: [[307.98, 134.76], [322.09, 132.18], [325.21, 133.32], [316.21, 121.95]]
frame_idx : 38, dst_points: [[311.33, 130.03], [295.08, 127.86], [331.91, 130.67], [364.50, 133.75]]
frame_idx : 39, dst_points: [[318.60, 127.48], [336.63, 131.06], [330.66, 130.62], [324.41, 129.05]]
frame_idx : 40, dst_points: [[339.45, 131.86], [334.86, 130.13], [337.54, 131.98], [306.29, 124.27]]
frame_idx : 41, dst_points: [[310.73, 126.71], [343.78, 128.94], [338.93, 130.84], [327.68, 128.64]]
frame_idx : 42, dst_points: [[337.44, 123.93], [330.04, 129.11], [328.33, 126.58], [333.05, 129.06]]
frame_idx : 43, dst_points: [[332.66, 133.49], [345.36, 128.56], [343.29, 126.42], [329.39, 122.17]]
frame_idx : 44, dst_points: [[333.84, 123.72], [310.16, 126.80], [337.76, 130.70], [341.21, 132.61]]
frame_idx : 45, dst_points: [[235.82, 144.05], [241.37, 142.86], [240.42, 150.04], [246.37, 148.50]]
frame_idx : 46, dst_points: [[323.13, 131.25], [334.54, 129.96], [332.78, 134.49], [345.53, 133.31]]
frame_idx : 47, dst_points: [[334.43, 133.54], [334.60, 135.56], [333.49, 133.20], [301.74, 131.17]]
frame_idx : 48, dst_points: [[337.57, 132.52], [326.04, 136.80], [323.26, 134.83], [331.66, 133.40]]
frame_idx : 49, dst_points: [[344.35, 130.27], [342.52, 131.74], [345.17, 134.03], [322.92, 133.08]]
frame_idx : 50, dst_points: [[334.91, 130.97], [335.52, 135.07], [325.48, 145.89], [346.52, 148.83]]
