frame_idx : 1, dst_points: [[529.08, 391.83], [639.84, 391.87], [527.74, 647.29], [625.34, 655.15]]
frame_idx : 2, dst_points: [[526.44, 392.33], [635.34, 392.30], [524.63, 644.02], [620.91, 651.87]]
frame_idx : 3, dst_points: [[523.37, 392.48], [629.60, 392.63], [521.35, 639.77], [615.48, 646.89]]
frame_idx : 4, dst_points: [[520.37, 392.32], [624.88, 392.79], [518.37, 635.86], [610.96, 642.88]]
frame_idx : 5, dst_points: [[517.80, 392.33], [620.79, 392.70], [516.34, 632.45], [608.05, 639.65]]
frame_idx : 6, dst_points: [[516.01, 392.33], [617.80, 392.54], [514.87, 628.86], [605.46, 636.27]]
frame_idx : 7, dst_points: [[514.54, 392.53], [615.35, 392.54], [513.83, 625.21], [603.41, 633.00]]
frame_idx : 8, dst_points: [[513.81, 392.95], [612.92, 392.87], [513.31, 622.33], [601.65, 630.05]]
frame_idx : 9, dst_points: [[514.00, 393.61], [610.68, 393.73], [512.78, 618.33], [598.57, 625.08]]
frame_idx : 10, dst_points: [[513.59, 393.94], [609.16, 393.97], [512.85, 615.65], [597.82, 622.68]]
frame_idx : 11, dst_points: [[513.69, 394.48], [607.51, 394.68], [512.74, 612.40], [596.07, 619.04]]
frame_idx : 12, dst_points: [[513.55, 395.17], [605.86, 395.21], [513.36, 610.63], [596.11, 617.67]]
frame_idx : 13, dst_points: [[513.94, 395.99], [605.94, 395.74], [513.63, 607.37], [595.32, 615.04]]
frame_idx : 14, dst_points: [[514.66, 396.63], [604.52, 396.52], [514.35, 605.19], [594.71, 612.61]]
frame_idx : 15, dst_points: [[514.64, 397.73], [602.96, 397.75], [514.41, 601.73], [592.79, 608.81]]
frame_idx : 16, dst_points: [[514.27, 398.75], [601.52, 398.39], [513.84, 599.32], [591.39, 606.59]]
frame_idx : 17, dst_points: [[513.79, 400.01], [598.75, 399.98], [513.73, 597.18], [589.92, 604.15]]
frame_idx : 18, dst_points: [[513.21, 400.94], [596.00, 401.17], [513.25, 595.40], [588.20, 602.53]]
