frame_idx : 1, dst_points: [263.23, 195.76], [318.28, 193.76], [265.20, 327.66], [313.12, 329.58]
frame_idx : 2, dst_points: [261.96, 196.64], [315.19, 194.36], [263.38, 325.27], [310.06, 326.93]
frame_idx : 3, dst_points: [260.12, 196.36], [312.51, 194.27], [261.90, 323.48], [308.09, 325.23]
frame_idx : 4, dst_points: [258.78, 196.21], [310.15, 194.31], [260.15, 321.07], [305.07, 322.50]
frame_idx : 5, dst_points: [257.62, 196.19], [308.22, 194.35], [259.39, 319.34], [303.92, 320.84]
frame_idx : 6, dst_points: [256.93, 195.88], [306.51, 194.29], [259.34, 318.22], [303.86, 319.92]
frame_idx : 7, dst_points: [256.54, 196.15], [306.15, 194.46], [258.98, 316.57], [303.15, 318.87]
frame_idx : 8, dst_points: [256.45, 196.54], [304.91, 195.04], [258.69, 314.66], [301.77, 316.63]
frame_idx : 9, dst_points: [256.48, 196.75], [304.04, 195.31], [258.55, 312.84], [300.76, 314.53]
frame_idx : 10, dst_points: [256.46, 196.64], [303.34, 195.14], [258.66, 311.49], [300.61, 313.27]
frame_idx : 11, dst_points: [256.49, 197.29], [302.69, 195.57], [258.65, 309.79], [299.78, 311.59]
frame_idx : 12, dst_points: [256.81, 197.51], [302.13, 196.07], [258.71, 308.52], [298.91, 310.16]
frame_idx : 13, dst_points: [257.20, 198.22], [301.86, 196.53], [258.93, 306.76], [298.51, 308.38]
frame_idx : 14, dst_points: [257.31, 198.59], [301.53, 197.08], [259.26, 305.10], [298.44, 307.01]
frame_idx : 15, dst_points: [257.14, 199.07], [300.26, 197.38], [259.35, 304.35], [298.06, 306.19]
frame_idx : 16, dst_points: [257.35, 199.81], [298.80, 198.28], [258.63, 302.27], [295.57, 303.16]
frame_idx : 17, dst_points: [256.73, 200.46], [297.67, 198.89], [258.70, 301.38], [295.58, 302.68]
frame_idx : 18, dst_points: [256.22, 200.99], [296.57, 199.53], [258.54, 300.34], [295.00, 302.04]
frame_idx : 19, dst_points: [255.76, 201.82], [296.14, 200.24], [257.77, 298.06], [293.39, 300.10]
frame_idx : 20, dst_points: [255.18, 202.00], [294.40, 200.38], [257.36, 297.57], [292.77, 299.62]
frame_idx : 21, dst_points: [254.80, 202.77], [293.41, 201.41], [257.37, 296.65], [292.52, 298.58]
frame_idx : 22, dst_points: [254.44, 203.25], [291.66, 201.70], [256.70, 295.12], [290.84, 296.44]
frame_idx : 23, dst_points: [253.95, 203.57], [291.13, 202.20], [256.25, 294.22], [289.87, 296.22]
frame_idx : 24, dst_points: [254.00, 203.31], [290.38, 201.69], [255.98, 293.24], [289.12, 295.09]
frame_idx : 25, dst_points: [254.46, 203.26], [289.97, 201.96], [256.52, 291.26], [288.88, 292.73]
frame_idx : 26, dst_points: [254.88, 203.39], [290.14, 202.08], [257.43, 290.00], [289.69, 291.44]
frame_idx : 27, dst_points: [255.32, 203.45], [290.01, 202.02], [257.24, 288.32], [288.70, 289.74]
frame_idx : 28, dst_points: [254.85, 203.77], [290.48, 202.09], [256.98, 287.62], [288.93, 290.45]
frame_idx : 29, dst_points: [254.52, 203.16], [288.25, 201.84], [256.83, 287.26], [288.04, 289.02]
frame_idx : 30, dst_points: [253.88, 203.36], [287.08, 202.16], [256.38, 285.17], [286.61, 286.37]
frame_idx : 31, dst_points: [253.68, 203.89], [285.80, 202.84], [255.46, 283.47], [284.26, 284.57]
frame_idx : 32, dst_points: [253.06, 204.04], [285.79, 202.95], [255.26, 284.00], [285.12, 285.86]
frame_idx : 33, dst_points: [252.12, 204.17], [284.76, 202.72], [254.95, 283.05], [284.71, 285.07]
frame_idx : 34, dst_points: [251.80, 204.53], [283.74, 203.17], [253.86, 281.05], [282.46, 282.90]
frame_idx : 35, dst_points: [251.11, 204.59], [282.55, 203.08], [253.03, 280.70], [281.35, 282.74]
frame_idx : 36, dst_points: [250.66, 204.97], [281.33, 203.53], [252.56, 280.40], [280.73, 282.61]
frame_idx : 37, dst_points: [249.98, 205.31], [280.15, 204.04], [251.92, 277.93], [278.75, 279.13]
frame_idx : 38, dst_points: [249.37, 205.48], [279.84, 204.33], [250.90, 277.50], [277.71, 279.44]
